library,operation,iter,microseconds
mlkem-native-avx2,keygen,0,9.7740
mlkem-native-avx2,keygen,1,9.4010
mlkem-native-avx2,keygen,2,9.3600
mlkem-native-avx2,keygen,3,9.3850
mlkem-native-avx2,keygen,4,9.4150
mlkem-native-avx2,keygen,5,9.4250
mlkem-native-avx2,keygen,6,9.3350
mlkem-native-avx2,keygen,7,9.3210
mlkem-native-avx2,keygen,8,9.4730
mlkem-native-avx2,keygen,9,9.3880
mlkem-native-avx2,keygen,10,9.3840
mlkem-native-avx2,keygen,11,9.4640
mlkem-native-avx2,keygen,12,9.5160
mlkem-native-avx2,keygen,13,9.5120
mlkem-native-avx2,keygen,14,9.3720
mlkem-native-avx2,keygen,15,9.3320
mlkem-native-avx2,keygen,16,9.4280
mlkem-native-avx2,keygen,17,9.4010
mlkem-native-avx2,keygen,18,9.4010
mlkem-native-avx2,keygen,19,9.3930
mlkem-native-avx2,keygen,20,9.4000
mlkem-native-avx2,keygen,21,10.3340
mlkem-native-avx2,keygen,22,9.4860
mlkem-native-avx2,keygen,23,9.4110
mlkem-native-avx2,keygen,24,9.3750
mlkem-native-avx2,keygen,25,9.3170
mlkem-native-avx2,keygen,26,31.1700
mlkem-native-avx2,keygen,27,9.7960
mlkem-native-avx2,keygen,28,9.5750
mlkem-native-avx2,keygen,29,9.4990
mlkem-native-avx2,keygen,30,9.4680
mlkem-native-avx2,keygen,31,9.5440
mlkem-native-avx2,keygen,32,9.4340
mlkem-native-avx2,keygen,33,9.4390
mlkem-native-avx2,keygen,34,9.4250
mlkem-native-avx2,keygen,35,9.4020
mlkem-native-avx2,keygen,36,9.3410
mlkem-native-avx2,keygen,37,9.3860
mlkem-native-avx2,keygen,38,9.3870
mlkem-native-avx2,keygen,39,9.5260
mlkem-native-avx2,keygen,40,9.4740
mlkem-native-avx2,keygen,41,9.5370
mlkem-native-avx2,keygen,42,9.3720
mlkem-native-avx2,keygen,43,9.4540
mlkem-native-avx2,keygen,44,9.4050
mlkem-native-avx2,keygen,45,9.3460
mlkem-native-avx2,keygen,46,9.3240
mlkem-native-avx2,keygen,47,9.8610
mlkem-native-avx2,keygen,48,8.3160
mlkem-native-avx2,keygen,49,8.3280
mlkem-native-avx2,keygen,50,8.2960
mlkem-native-avx2,keygen,51,8.4430
mlkem-native-avx2,keygen,52,8.2550
mlkem-native-avx2,keygen,53,8.3330
mlkem-native-avx2,keygen,54,8.4350
mlkem-native-avx2,keygen,55,8.3120
mlkem-native-avx2,keygen,56,8.4490
mlkem-native-avx2,keygen,57,8.3270
mlkem-native-avx2,keygen,58,8.3290
mlkem-native-avx2,keygen,59,8.3120
mlkem-native-avx2,keygen,60,8.2790
mlkem-native-avx2,keygen,61,8.3130
mlkem-native-avx2,keygen,62,8.3030
mlkem-native-avx2,keygen,63,8.3150
mlkem-native-avx2,keygen,64,8.3340
mlkem-native-avx2,keygen,65,8.3460
mlkem-native-avx2,keygen,66,8.3140
mlkem-native-avx2,keygen,67,8.3020
mlkem-native-avx2,keygen,68,8.3450
mlkem-native-avx2,keygen,69,8.3760
mlkem-native-avx2,keygen,70,8.3860
mlkem-native-avx2,keygen,71,8.2880
mlkem-native-avx2,keygen,72,8.3950
mlkem-native-avx2,keygen,73,8.3600
mlkem-native-avx2,keygen,74,8.3060
mlkem-native-avx2,keygen,75,8.3350
mlkem-native-avx2,keygen,76,8.3250
mlkem-native-avx2,keygen,77,8.4180
mlkem-native-avx2,keygen,78,8.3110
mlkem-native-avx2,keygen,79,8.3560
mlkem-native-avx2,keygen,80,8.3800
mlkem-native-avx2,keygen,81,8.2900
mlkem-native-avx2,keygen,82,8.4050
mlkem-native-avx2,keygen,83,8.3700
mlkem-native-avx2,keygen,84,8.4140
mlkem-native-avx2,keygen,85,9.1530
mlkem-native-avx2,keygen,86,7.7420
mlkem-native-avx2,keygen,87,7.7320
mlkem-native-avx2,keygen,88,7.7910
mlkem-native-avx2,keygen,89,7.6930
mlkem-native-avx2,keygen,90,7.7080
mlkem-native-avx2,keygen,91,7.7480
mlkem-native-avx2,keygen,92,7.7960
mlkem-native-avx2,keygen,93,7.6940
mlkem-native-avx2,keygen,94,7.7720
mlkem-native-avx2,keygen,95,7.7840
mlkem-native-avx2,keygen,96,7.8080
mlkem-native-avx2,keygen,97,7.7940
mlkem-native-avx2,keygen,98,7.7830
mlkem-native-avx2,keygen,99,7.7310
mlkem-native-avx2,keygen,100,7.8270
mlkem-native-avx2,keygen,101,7.7230
mlkem-native-avx2,keygen,102,7.7320
mlkem-native-avx2,keygen,103,7.8880
mlkem-native-avx2,keygen,104,7.7840
mlkem-native-avx2,keygen,105,7.7320
mlkem-native-avx2,keygen,106,7.8500
mlkem-native-avx2,keygen,107,7.7120
mlkem-native-avx2,keygen,108,7.8690
mlkem-native-avx2,keygen,109,7.7340
mlkem-native-avx2,keygen,110,7.7980
mlkem-native-avx2,keygen,111,7.7490
mlkem-native-avx2,keygen,112,7.7650
mlkem-native-avx2,keygen,113,7.8300
mlkem-native-avx2,keygen,114,7.8100
mlkem-native-avx2,keygen,115,7.8260
mlkem-native-avx2,keygen,116,7.7740
mlkem-native-avx2,keygen,117,7.7890
mlkem-native-avx2,keygen,118,7.7730
mlkem-native-avx2,keygen,119,7.7910
mlkem-native-avx2,keygen,120,7.8320
mlkem-native-avx2,keygen,121,7.7970
mlkem-native-avx2,keygen,122,7.7500
mlkem-native-avx2,keygen,123,8.5250
mlkem-native-avx2,keygen,124,8.4560
mlkem-native-avx2,keygen,125,7.8100
mlkem-native-avx2,keygen,126,7.7840
mlkem-native-avx2,keygen,127,8.4590
mlkem-native-avx2,keygen,128,7.7760
mlkem-native-avx2,keygen,129,7.7510
mlkem-native-avx2,keygen,130,7.7030
mlkem-native-avx2,keygen,131,7.7750
mlkem-native-avx2,keygen,132,7.7360
mlkem-native-avx2,keygen,133,148.0220
mlkem-native-avx2,keygen,134,8.9210
mlkem-native-avx2,keygen,135,8.0660
mlkem-native-avx2,keygen,136,7.9700
mlkem-native-avx2,keygen,137,8.0110
mlkem-native-avx2,keygen,138,7.9520
mlkem-native-avx2,keygen,139,7.9460
mlkem-native-avx2,keygen,140,7.7540
mlkem-native-avx2,keygen,141,7.8650
mlkem-native-avx2,keygen,142,7.8420
mlkem-native-avx2,keygen,143,7.7630
mlkem-native-avx2,keygen,144,7.7980
mlkem-native-avx2,keygen,145,7.7670
mlkem-native-avx2,keygen,146,7.7680
mlkem-native-avx2,keygen,147,7.7260
mlkem-native-avx2,keygen,148,7.7440
mlkem-native-avx2,keygen,149,7.8530
