library,operation,iter,microseconds
mlkem-native,keygen,0,21.8610
mlkem-native,keygen,1,21.7620
mlkem-native,keygen,2,20.9510
mlkem-native,keygen,3,21.3960
mlkem-native,keygen,4,21.2880
mlkem-native,keygen,5,21.2960
mlkem-native,keygen,6,21.1900
mlkem-native,keygen,7,21.3810
mlkem-native,keygen,8,21.1950
mlkem-native,keygen,9,21.2550
mlkem-native,keygen,10,21.3920
mlkem-native,keygen,11,21.1840
mlkem-native,keygen,12,21.4900
mlkem-native,keygen,13,20.6700
mlkem-native,keygen,14,19.2040
mlkem-native,keygen,15,18.8990
mlkem-native,keygen,16,18.8510
mlkem-native,keygen,17,18.9680
mlkem-native,keygen,18,19.1330
mlkem-native,keygen,19,19.0230
mlkem-native,keygen,20,19.3110
mlkem-native,keygen,21,19.1120
mlkem-native,keygen,22,19.1470
mlkem-native,keygen,23,19.0080
mlkem-native,keygen,24,18.8630
mlkem-native,keygen,25,19.0660
mlkem-native,keygen,26,19.0930
mlkem-native,keygen,27,19.4910
mlkem-native,keygen,28,17.8250
mlkem-native,keygen,29,17.8440
mlkem-native,keygen,30,17.9890
mlkem-native,keygen,31,18.0170
mlkem-native,keygen,32,17.7830
mlkem-native,keygen,33,17.9410
mlkem-native,keygen,34,17.8820
mlkem-native,keygen,35,17.7830
mlkem-native,keygen,36,18.3850
mlkem-native,keygen,37,19.1330
mlkem-native,keygen,38,17.9890
mlkem-native,keygen,39,19.2240
mlkem-native,keygen,40,19.6710
mlkem-native,keygen,41,19.4980
mlkem-native,keygen,42,19.0760
mlkem-native,keygen,43,18.3130
mlkem-native,keygen,44,18.0950
mlkem-native,keygen,45,17.8920
mlkem-native,keygen,46,18.1290
mlkem-native,keygen,47,19.4070
mlkem-native,keygen,48,19.3890
mlkem-native,keygen,49,19.3790
mlkem-native,keygen,50,19.6940
mlkem-native,keygen,51,18.1550
mlkem-native,keygen,52,19.3910
mlkem-native,keygen,53,19.1430
mlkem-native,keygen,54,18.1730
mlkem-native,keygen,55,17.8510
