library,operation,iter,microseconds
PQClean,keygen,0,30.7820
PQClean,keygen,1,30.7530
PQClean,keygen,2,29.7500
PQClean,keygen,3,30.3700
PQClean,keygen,4,30.1650
PQClean,keygen,5,30.3590
PQClean,keygen,6,30.6290
PQClean,keygen,7,30.5000
PQClean,keygen,8,30.0440
PQClean,keygen,9,29.9890
PQClean,keygen,10,29.8850
PQClean,keygen,11,40.5650
PQClean,keygen,12,30.7020
PQClean,keygen,13,30.5180
PQClean,keygen,14,30.1830
PQClean,keygen,15,30.0440
PQClean,keygen,16,30.0730
PQClean,keygen,17,29.7960
PQClean,keygen,18,29.8770
PQClean,keygen,19,29.8280
PQClean,keygen,20,29.7900
PQClean,keygen,21,30.6040
PQClean,keygen,22,29.5950
PQClean,keygen,23,30.8860
PQClean,keygen,24,31.1010
PQClean,keygen,25,30.8550
PQClean,keygen,26,32.2310
PQClean,keygen,27,30.6980
PQClean,keygen,28,30.2160
PQClean,keygen,29,30.2310
PQClean,keygen,30,29.7020
PQClean,keygen,31,30.1480
PQClean,keygen,32,31.2040
PQClean,keygen,33,31.4710
PQClean,keygen,34,30.9510
PQClean,keygen,35,30.8660
PQClean,keygen,36,30.7020
PQClean,keygen,37,32.2260
PQClean,keygen,38,31.2250
PQClean,keygen,39,31.3110
PQClean,keygen,40,31.1580
PQClean,keygen,41,30.7030
PQClean,keygen,42,30.7930
PQClean,keygen,43,31.9670
PQClean,keygen,44,30.6180
PQClean,keygen,45,30.3850
PQClean,keygen,46,30.3900
PQClean,keygen,47,31.2500
PQClean,keygen,48,30.3950
PQClean,keygen,49,30.3780
PQClean,keygen,50,29.8490
PQClean,keygen,51,30.6030
PQClean,keygen,52,31.1110
PQClean,keygen,53,30.1910
PQClean,keygen,54,30.2240
PQClean,keygen,55,30.2030
PQClean,keygen,56,29.9820
PQClean,keygen,57,30.6470
PQClean,keygen,58,129.5750
PQClean,keygen,59,38.7980
PQClean,keygen,60,31.7480
PQClean,keygen,61,30.3790
PQClean,keygen,62,31.1890
PQClean,keygen,63,35.4090
PQClean,keygen,64,40.1970
PQClean,keygen,65,33.0260
PQClean,keygen,66,36.0320
PQClean,keygen,67,31.2070
PQClean,keygen,68,29.8620
PQClean,keygen,69,30.1610
